机型,ρ,服务区,q_max
B,0.29,S015,30.0
B,0.3,S001,30.0
B,0.3,S002,26.57
B,0.3,S003,25.4
B,0.3,S004,23.23
B,0.3,S005,30.0
B,0.3,S006,30.0
B,0.3,S007,30.0
B,0.3,S008,20.85
B,0.3,S009,30.0
B,0.3,S010,30.0
B,0.3,S011,30.0
B,0.3,S012,25.74
B,0.3,S013,30.0
B,0.3,S014,30.0
B,0.3,S015,30.0
B,0.31,S001,30.0
B,0.31,S002,25.78
B,0.31,S003,24.53
B,0.31,S004,22.26
B,0.31,S005,30.0
B,0.31,S006,30.0
B,0.31,S007,30.0
B,0.31,S008,19.74
B,0.31,S009,30.0
B,0.31,S010,30.0
B,0.31,S011,30.0
B,0.31,S012,24.9
B,0.31,S013,30.0
B,0.31,S014,30.0
B,0.31,S015,30.0
B,0.32,S001,30.0
B,0.32,S002,24.95
B,0.32,S003,23.61
B,0.32,S004,21.21
B,0.32,S005,30.0
B,0.32,S006,30.0
B,0.32,S007,30.0
B,0.32,S008,18.54
B,0.32,S009,30.0
B,0.32,S010,30.0
B,0.32,S011,30.0
B,0.32,S012,24.01
B,0.32,S013,30.0
B,0.32,S014,30.0
B,0.32,S015,30.0
B,0.33,S001,30.0
B,0.33,S002,24.05
B,0.33,S003,22.62
B,0.33,S004,20.08
B,0.33,S005,30.0
B,0.33,S006,30.0
B,0.33,S007,30.0
B,0.33,S008,17.23
B,0.33,S009,30.0
B,0.33,S010,30.0
B,0.33,S011,30.0
B,0.33,S012,23.06
B,0.33,S013,30.0
B,0.33,S014,30.0
B,0.33,S015,30.0
B,0.34,S001,30.0
B,0.34,S002,23.09
B,0.34,S003,21.55
B,0.34,S004,18.86
B,0.34,S005,30.0
B,0.34,S006,30.0
B,0.34,S007,30.0
B,0.34,S008,15.8
B,0.34,S009,30.0
B,0.34,S010,30.0
B,0.34,S011,30.0
B,0.34,S012,22.03
B,0.34,S013,30.0
B,0.34,S014,30.0
B,0.34,S015,30.0
B,0.35,S001,30.0
B,0.35,S002,22.06
B,0.35,S003,20.4
B,0.35,S004,17.53
B,0.35,S005,30.0
B,0.35,S006,30.0
B,0.35,S007,30.0
B,0.35,S008,14.22
B,0.35,S009,30.0
B,0.35,S010,30.0
B,0.35,S011,30.0
B,0.35,S012,20.92
B,0.35,S013,30.0
B,0.35,S014,30.0
B,0.35,S015,30.0
B,0.36,S001,30.0
B,0.36,S002,20.94
B,0.36,S003,19.15
B,0.36,S004,16.07
B,0.36,S005,30.0
B,0.36,S006,30.0
B,0.36,S007,30.0
B,0.36,S008,12.46
B,0.36,S009,30.0
B,0.36,S010,30.0
B,0.36,S011,30.0
B,0.36,S012,19.72
B,0.36,S013,30.0
B,0.36,S014,30.0
B,0.36,S015,30.0
B,0.37,S001,30.0
B,0.37,S002,19.74
B,0.37,S003,17.79
B,0.37,S004,14.45
B,0.37,S005,30.0
B,0.37,S006,30.0
B,0.37,S007,30.0
B,0.37,S008,10.45
B,0.37,S009,30.0
B,0.37,S010,30.0
B,0.37,S011,30.0
B,0.37,S012,18.41
B,0.37,S013,30.0
B,0.37,S014,30.0
B,0.37,S015,29.49
B,0.38,S001,30.0
B,0.38,S002,18.42
B,0.38,S003,16.3
B,0.38,S004,12.64
B,0.38,S005,30.0
B,0.38,S006,30.0
B,0.38,S007,30.0
B,0.38,S008,8.09
B,0.38,S009,30.0
B,0.38,S010,30.0
B,0.38,S011,30.0
B,0.38,S012,16.98
B,0.38,S013,30.0
B,0.38,S014,30.0
B,0.38,S015,28.75
B,0.39,S001,30.0
B,0.39,S002,16.97
B,0.39,S003,14.65
B,0.39,S004,10.58
B,0.39,S005,30.0
B,0.39,S006,30.0
B,0.39,S007,30.0
B,0.39,S008,5.17
B,0.39,S009,30.0
B,0.39,S010,30.0
B,0.39,S011,30.0
B,0.39,S012,15.4
B,0.39,S013,30.0
B,0.39,S014,30.0
B,0.39,S015,27.96
B,0.4,S001,30.0
B,0.4,S002,15.36
B,0.4,S003,12.8
B,0.4,S004,8.15
B,0.4,S005,30.0
B,0.4,S006,30.0
B,0.4,S007,30.0
B,0.4,S008,0.45
B,0.4,S009,30.0
B,0.4,S010,30.0
B,0.4,S011,30.0
B,0.4,S012,13.64
B,0.4,S013,30.0
B,0.4,S014,30.0
B,0.4,S015,27.11
C,0.1,S001,80.0
C,0.1,S002,78.37
C,0.1,S003,78.19
C,0.1,S004,74.61
C,0.1,S005,80.0
C,0.1,S006,80.0
C,0.1,S007,80.0
C,0.1,S008,71.2
C,0.1,S009,80.0
C,0.1,S010,80.0
C,0.1,S011,80.0
C,0.1,S012,77.87
C,0.1,S013,80.0
C,0.1,S014,80.0
C,0.1,S015,80.0
C,0.11,S001,80.0
C,0.11,S002,77.56
C,0.11,S003,77.37
C,0.11,S004,73.69
C,0.11,S005,80.0
C,0.11,S006,80.0
C,0.11,S007,80.0
C,0.11,S008,70.18
C,0.11,S009,80.0
C,0.11,S010,80.0
C,0.11,S011,80.0
C,0.11,S012,77.04
C,0.11,S013,80.0
C,0.11,S014,80.0
C,0.11,S015,80.0
C,0.12,S001,80.0
C,0.12,S002,76.72
C,0.12,S003,76.51
C,0.12,S004,72.73
C,0.12,S005,80.0
C,0.12,S006,80.0
C,0.12,S007,80.0
C,0.12,S008,69.12
C,0.12,S009,80.0
C,0.12,S010,80.0
C,0.12,S011,80.0
C,0.12,S012,76.18
C,0.12,S013,80.0
C,0.12,S014,80.0
C,0.12,S015,80.0
C,0.13,S001,80.0
C,0.13,S002,75.84
C,0.13,S003,75.61
C,0.13,S004,71.73
C,0.13,S005,80.0
C,0.13,S006,80.0
C,0.13,S007,80.0
C,0.13,S008,68.01
C,0.13,S009,80.0
C,0.13,S010,80.0
C,0.13,S011,80.0
C,0.13,S012,75.28
C,0.13,S013,80.0
C,0.13,S014,80.0
C,0.13,S015,80.0
C,0.14,S001,80.0
C,0.14,S002,74.93
C,0.14,S003,74.68
C,0.14,S004,70.69
C,0.14,S005,80.0
C,0.14,S006,80.0
C,0.14,S007,80.0
C,0.14,S008,66.84
C,0.14,S009,80.0
C,0.14,S010,80.0
C,0.14,S011,80.0
C,0.14,S012,74.35
C,0.14,S013,80.0
C,0.14,S014,80.0
C,0.14,S015,80.0
C,0.15,S001,80.0
C,0.15,S002,73.98
C,0.15,S003,73.71
C,0.15,S004,69.6
C,0.15,S005,80.0
C,0.15,S006,80.0
C,0.15,S007,80.0
C,0.15,S008,65.63
C,0.15,S009,80.0
C,0.15,S010,80.0
C,0.15,S011,80.0
C,0.15,S012,73.37
C,0.15,S013,80.0
C,0.15,S014,80.0
C,0.15,S015,80.0
C,0.16,S001,80.0
C,0.16,S002,72.99
C,0.16,S003,72.69
C,0.16,S004,68.46
C,0.16,S005,80.0
C,0.16,S006,80.0
C,0.16,S007,80.0
C,0.16,S008,64.35
C,0.16,S009,80.0
C,0.16,S010,80.0
C,0.16,S011,80.0
C,0.16,S012,72.36
C,0.16,S013,80.0
C,0.16,S014,80.0
C,0.16,S015,80.0
C,0.17,S001,80.0
C,0.17,S002,71.95
C,0.17,S003,71.63
C,0.17,S004,67.26
C,0.17,S005,80.0
C,0.17,S006,80.0
C,0.17,S007,80.0
C,0.17,S008,63.02
C,0.17,S009,80.0
C,0.17,S010,80.0
C,0.17,S011,80.0
C,0.17,S012,71.3
C,0.17,S013,80.0
C,0.17,S014,80.0
C,0.17,S015,80.0
C,0.18,S001,80.0
C,0.18,S002,70.87
C,0.18,S003,70.53
C,0.18,S004,66.01
C,0.18,S005,80.0
C,0.18,S006,80.0
C,0.18,S007,80.0
C,0.18,S008,61.61
C,0.18,S009,80.0
C,0.18,S010,80.0
C,0.18,S011,80.0
C,0.18,S012,70.18
C,0.18,S013,80.0
C,0.18,S014,80.0
C,0.18,S015,80.0
C,0.19,S001,80.0
C,0.19,S002,69.74
C,0.19,S003,69.37
C,0.19,S004,64.7
C,0.19,S005,80.0
C,0.19,S006,80.0
C,0.19,S007,80.0
C,0.19,S008,60.13
